"date","min","mean","max","sd","cov","count","region"
"2000-05-15",0.06956673413515091,0.5751479089547277,1.0,0.3301026093384257,0.5739438572216203,934,"N cold"
"2000-06-15",0.04744310677051544,0.3572138311630268,1.0,0.33418198979093827,0.9355236573648316,935,"N cold"
"2000-07-15",0.018638113513588905,0.25836350942731023,1.0,0.3260992261910406,1.2621721500604852,936,"N cold"
"2000-08-15",0.022697899490594864,0.27053280309057565,1.0,0.3188418558418157,1.17857003734614,936,"N cold"
"2000-09-15",0.057396601885557175,0.3767854437176293,1.0,0.29579071741388935,0.7850375388587489,936,"N cold"
"2000-10-15",0.07468036562204361,0.5223727497296077,1.0,0.26831967555914205,0.5136555758278558,936,"N cold"
"2000-11-15",0.07904684543609619,0.5508543608144887,1.0,0.2020825097573271,0.36685288187340404,804,"N cold"
"2000-12-15",0.16445933282375336,0.5249338601959053,1.0,0.16354840549166458,0.3115600228772218,517,"N cold"
"2001-01-15",0.17984241247177124,0.645410797354224,1.0,0.17788862622645432,0.27562077820155034,715,"N cold"
"2001-02-15",0.1534324288368225,0.7193572095297233,1.0,0.22644414147780684,0.3147867825302588,903,"N cold"
"2001-03-15",0.15772143006324768,0.7443904793498836,1.0,0.2530367374297818,0.33992473634371634,933,"N cold"
"2001-04-15",0.08519523590803146,0.7170683829730722,1.0,0.29679879489997923,0.4139058448922365,933,"N cold"
"2001-05-15",0.06714245676994324,0.5520968758511088,1.0,0.341128185458023,0.6178774059029805,934,"N cold"
"2001-06-15",0.04423967003822327,0.3150334045251099,1.0,0.33199154780210877,1.0538296670556635,935,"N cold"
"2001-07-15",0.016581624746322632,0.2419672177579153,1.0,0.32706225882424206,1.3516800410188752,936,"N cold"
"2001-08-15",0.019288022071123123,0.2403505466237635,1.0,0.3226454148782298,1.3423951782530699,936,"N cold"
"2001-09-15",0.024209290742874146,0.3100556561755196,1.0,0.31080560115599587,1.002418743104792,936,"N cold"
"2001-10-15",0.05611003562808037,0.4977125596955541,1.0,0.28017786738246286,0.5629310772343075,936,"N cold"
"2001-11-15",0.08056008070707321,0.5625890547511596,1.0,0.2078814969708377,0.3695086052870089,804,"N cold"
"2001-12-15",0.14252308011054993,0.5245198838888324,1.0,0.16429923926895001,0.3132373896883037,517,"N cold"
"2002-01-15",0.1579587757587433,0.6435994347492284,1.0,0.17725772616597904,0.2754162241224553,715,"N cold"
"2002-02-15",0.15147501230239868,0.7132728347020552,1.0,0.22508567026636103,0.3155674228927879,903,"N cold"
"2002-03-15",0.1406981647014618,0.7372267134407855,1.0,0.2559086686414166,0.3471234343191924,934,"N cold"
"2002-04-15",0.07947099208831787,0.7278448766699706,1.0,0.2923699802249313,0.40169270897746767,934,"N cold"
"2002-05-15",0.05556945502758026,0.5693108144652995,1.0,0.34059333076543397,0.5982555084349162,934,"N cold"
"2002-06-15",0.04497334733605385,0.31885141725925836,1.0,0.3263495766326203,1.0235161550725214,935,"N cold"
"2002-07-15",0.01734529435634613,0.24038600103738592,1.0,0.32596844510328415,1.3560209150972484,936,"N cold"
"2002-08-15",0.01833209954202175,0.24681825097252286,1.0,0.3181748888970304,1.2891060026693542,936,"N cold"
